R,I,Z_0,Z_1,Z_0Z_1,X_0X_1,Y_0Y_1,t_0,Ordering,Trotter Error
0.20,2.8489,0.5678,-1.4508,0.6799,0.0791,0.0791,1.5, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0124 \\
0.25,2.1868,0.5449,-1.287,0.6719,0.0798,0.0798,1.59, $Z_0 \cdot Y_0 Y_1 \cdot Z_1 \cdot X_0 X_1$ , 0.0521 \\
0.30,1.7252,0.5215,-1.1458,0.6631,0.0806,0.0806,1.77, $X_0 X_1 \cdot Z_0 \cdot Y_0 Y_1 \cdot Z_1$ , 0.0111 \\
0.35,1.3827,0.4982,-1.0226,0.6537,0.0815,0.0815,2.08, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0368 \\
0.40,1.1182,0.4754,-0.9145,0.6438,0.0825,0.0825,2.1, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0088 \\
0.45,0.9083,0.4534,-0.8194,0.6336,0.0835,0.0835,2.31, $X_0 X_1 \cdot Z_0 \cdot Y_0 Y_1 \cdot Z_1$ , 0.0141 \\
0.50,0.7381,0.4325,-0.7355,0.6233,0.0846,0.0846,2.58, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0672 \\
0.55,0.5979,0.4125,-0.6612,0.6129,0.0858,0.0858,2.7, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0147 \\
0.60,0.4808,0.3937,-0.595,0.6025,0.087,0.087,2.25, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0167 \\
0.65,0.3819,0.376,-0.5358,0.5921,0.0883,0.0883,3.34, $Z_1 \cdot X_0 X_1 \cdot Z_0 \cdot Y_0 Y_1$ , 0.0175 \\
0.70,0.2976,0.3593,-0.4826,0.5818,0.0896,0.0896,0.64, $Z_0 \cdot Y_0 Y_1 \cdot Z_1 \cdot X_0 X_1$ , 0.0171 \\
0.75,0.2252,0.3435,-0.4347,0.5716,0.091,0.091,0.74, $Z_0 \cdot Y_0 Y_1 \cdot Z_1 \cdot X_0 X_1$ , 0.0199 \\
0.80,0.1626,0.3288,-0.3915,0.5616,0.0925,0.0925,0.79, $Z_0 \cdot Y_0 Y_1 \cdot Z_1 \cdot X_0 X_1$ , 0.0291 \\
0.85,0.1083,0.3149,-0.3523,0.5518,0.0939,0.0939,3.51, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0254 \\
0.90,0.0609,0.3018,-0.3168,0.5421,0.0954,0.0954,3.33, $Z_0 \cdot X_0 X_1 \cdot Z_1 \cdot Y_0 Y_1$ , 0.0283 \\
0.95,0.0193,0.2895,-0.2845,0.5327,0.097,0.097,4.09, $X_0 X_1 \cdot Z_0 \cdot Y_0 Y_1 \cdot Z_1$ , 0.0328 \\
